"species","tree","branch","type","kstem","treatment","leaf_area","kstem_leafarea"
"quag",70,4,"knative",0.00816812290943492,"burned",0.0033676,2.42550270502284
"quag",76,3,"knative",0.0162155668432233,"burned",0.0030688,5.28400900782824
"quag",66,3,"knative",0.00928699705044905,"burned",0.0041816,2.22091951656042
"quag",65,3,"knative",0.00562765037640872,"burned",0.0034801,1.61709444452996
"quag",79,3,"knative",0.0112379831262942,"burned",0.0024674,4.55458503943187
"quag",72,3,"knative",0.0212179440762619,"burned",0.0030022,7.0674652175944
"quag",134,2,"knative",0.0939186236499165,"unburned",0.0020891,44.9564997606225
"quag",101,2,"knative",0.150091273698338,"unburned",0.003608,41.5995769673886
"quag",103,1,"knative",0.0112741263318299,"unburned",0.0036433,3.09448201680616
"quag",101,1,"knative",5.6284248511955e-06,"unburned",0.0019206,0.00293055547807742
"quag",121,2,"knative",0.00591933739706709,"unburned",0.0015425,3.83749588140492
"quag",66,1,"knative",0.016300944234854,"burned",0.0032038,5.08800306974655
"quag",79,1,"knative",0.0268638193498743,"burned",0.0030223,8.88853500641045
"quag",86,1,"knative",0.043852214919492,"burned",0.0032055,13.6803041396013
"quag",79,2,"knative",0.0479145491545292,"burned",0.0032688,14.6581464618604
"quag",77,2,"knative",0.0371785003100927,"burned",0.002327,15.9770091577536
"quag",65,1,"knative",0.0186791650983317,"burned",0.0050539,3.6959902448271
"quag",68,2,"knative",0.0164479433027039,"burned",0.0028483,5.77465270607166
"quag",68,1,"knative",0.0184990407931197,"burned",0.0015237,12.1408681453828
"quag",77,1,"knative",0.0279611294056148,"burned",0.0015463,18.0826032500904
"quag",65,2,"knative",0.0506816719994485,"burned",0.0033019,15.3492449799959
"quag",66,2,"knative",0.0165283476875366,"burned",0.0014086,11.7338830665459
"quag",86,2,"knative",0.0247812357009753,"burned",0.0012463,19.8838447412142
"quag",73,1,"knative",0.0247807977620009,"burned",0.004579,5.41183615680299
"quag",70,2,"knative",0.0103235157729347,"burned",0.0032531,3.17343941868824
"quag",70,1,"knative",0.0226039642134469,"burned",0.0041289,5.47457294035867
"quag",76,1,"knative",0.0471558840289636,"burned",0.0044591,10.575202177337
"quag",73,2,"knative",0.016556822553883,"burned",0.0009606,17.235917711725
"quag",78,2,"knative",0.0310641230079791,"burned",0.0041484,7.48821786905291
"quag",72,2,"knative",0.0351942292954328,"burned",0.0063873,5.51003229775223
"quag",74,2,"knative",0.0335682586633692,"burned",0.0035183,9.54104501133195
"quag",74,1,"knative",0.0268570151463949,"burned",0.0053058,5.06182199600341
"quag",76,2,"knative",0.00948602186303649,"burned",0.0024997,3.79486412891007
"quag",78,1,"knative",0.0145299401606323,"burned",0.0025832,5.62478327680098
"quag",72,1,"knative",0.0289007516384778,"burned",0.004711,6.13473819538905
"quag",70,3,"knative",0.0124535736606699,"burned",0.0038742,3.21448909727683
"quag",78,3,"knative",0.00896427367721503,"burned",0.0082906,1.08125752987902
"quag",86,3,"knative",0.0620140354618748,"burned",0.0031843,19.4749349815893
"quag",73,3,"knative",0.0230743759583379,"burned",0.0050301,4.58725988714696
"quag",77,3,"knative",0.032105312892679,"burned",0.0056319,5.70061842232266
"quag",68,3,"knative",0.00968442453042895,"burned",0.0031289,3.09515309867012
"quag",132,2,"knative",0.0296994432327667,"unburned",0.0020155,14.735521326106
"quag",134,1,"knative",0.0113243207009879,"unburned",0.0026969,4.19901394229964
"quag",103,2,"knative",0.00189732624784375,"unburned",0.0029763,0.637478160079209
"quag",132,1,"knative",0.0267742879010233,"unburned",0.0030719,8.71587222924682
"quag",121,1,"knative",0.0119676256265749,"unburned",0.0032382,3.69576481581585
"quag",114,3,"knative",0.037624307,"unburned",0.0044223,8.50785948488343
"quag",116,2,"knative",0.044527217,"unburned",0.0043682,10.1934932008608
"quag",116,1,"knative",0.015305433,"unburned",0.0041625,3.6769809009009
"quag",134,3,"knative",0.017597219,"unburned",0.0024998,7.03945075606048
"quag",114,1,"knative",0.0422618928018189,"unburned",0.0027227,15.5220526689752
"quag",116,3,"knative",0.0163722740609527,"unburned",0.0023682,6.91338318594405
"quag",114,2,"knative",0.0249766870671992,"unburned",0.0026458,9.44012664116683
"quag",132,3,"knative",0.0261799199241587,"unburned",0.0024199,10.8185957784035
"quag",121,3,"knative",0.0438321452971,"unburned",0.0040573,10.8032793476203
