time,rh,temp,pressure
11/18/2024 9:55 AM,0.494,19.8,101.36
11/18/2024 10:00 AM,0.494,19.8,101.36
11/18/2024 10:05 AM,0.498,19.8,101.36
11/18/2024 10:10 AM,0.498,19.8,101.36
11/18/2024 10:15 AM,0.498,19.8,101.36
11/18/2024 10:20 AM,0.501,19.7,101.35
11/18/2024 10:25 AM,0.501,19.7,101.35
11/18/2024 10:30 AM,0.498,19.8,101.35
11/18/2024 10:35 AM,0.494,19.8,101.35
11/18/2024 10:40 AM,0.498,19.8,101.35
11/18/2024 10:45 AM,0.498,19.8,101.34
11/18/2024 10:50 AM,0.503,19.8,101.34
11/18/2024 10:55 AM,0.503,19.8,101.32
11/18/2024 11:00 AM,0.507,19.8,101.34
11/18/2024 11:05 AM,0.507,19.8,101.32
11/18/2024 11:10 AM,0.510,19.7,101.34
11/18/2024 11:15 AM,0.506,19.7,101.31
11/18/2024 11:20 AM,0.506,19.7,101.29
11/18/2024 11:25 AM,0.498,19.8,101.29
11/18/2024 11:30 AM,0.501,19.7,101.31
11/18/2024 11:35 AM,0.501,19.7,101.29
11/18/2024 11:40 AM,0.506,19.7,101.29
11/18/2024 11:45 AM,0.506,19.7,101.29
11/18/2024 11:50 AM,0.509,19.6,101.28
11/18/2024 11:55 AM,0.517,19.5,101.28
11/18/2024 12:00 PM,0.517,19.5,101.28
11/18/2024 12:05 PM,0.517,19.5,101.26
11/18/2024 12:10 PM,0.521,19.5,101.26
11/18/2024 12:15 PM,0.525,19.5,101.28
11/18/2024 12:20 PM,0.525,19.5,101.28
11/18/2024 12:25 PM,0.530,19.5,101.28
11/18/2024 12:30 PM,0.526,19.6,101.25
11/18/2024 12:35 PM,0.531,19.6,101.25
11/18/2024 12:40 PM,0.531,19.6,101.25
11/18/2024 12:45 PM,0.535,19.6,101.23
11/18/2024 12:50 PM,0.535,19.6,101.22
11/18/2024 12:55 PM,0.535,19.6,101.22
11/18/2024 1:00 PM,0.532,19.7,101.20
11/18/2024 1:05 PM,0.532,19.7,101.20
11/18/2024 1:10 PM,0.535,19.6,101.20
11/18/2024 1:15 PM,0.535,19.6,101.20
11/18/2024 1:20 PM,0.540,19.6,101.20
11/18/2024 1:25 PM,0.536,19.7,101.19
11/18/2024 1:30 PM,0.537,19.8,101.19
11/18/2024 1:35 PM,0.533,19.8,101.17
11/18/2024 1:40 PM,0.534,19.9,101.17
11/18/2024 1:45 PM,0.534,19.9,101.17
11/18/2024 1:50 PM,0.534,19.9,101.17
11/18/2024 1:55 PM,0.534,19.9,101.16
11/18/2024 2:00 PM,0.531,20.0,101.16
11/18/2024 2:05 PM,0.527,20.1,101.14
11/18/2024 2:10 PM,0.532,20.1,101.14
11/18/2024 2:15 PM,0.536,20.1,101.13
11/18/2024 2:20 PM,0.536,20.1,101.13
11/18/2024 2:25 PM,0.535,20.0,101.14
11/18/2024 2:30 PM,0.542,19.8,101.14
11/18/2024 2:35 PM,0.546,19.8,101.14
11/18/2024 2:40 PM,0.549,19.7,101.13
11/18/2024 2:45 PM,0.549,19.7,101.13
11/18/2024 2:50 PM,0.554,19.7,101.12
11/18/2024 2:55 PM,0.554,19.7,101.12
11/18/2024 3:00 PM,0.562,19.6,101.12
11/18/2024 3:05 PM,0.562,19.6,101.12
11/18/2024 3:10 PM,0.557,19.6,101.12
11/18/2024 3:15 PM,0.561,19.5,101.12
11/18/2024 3:20 PM,0.557,19.6,101.12
11/18/2024 3:25 PM,0.540,19.6,101.10
11/18/2024 3:30 PM,0.499,19.5,101.09
11/18/2024 3:35 PM,0.441,19.5,101.09
11/18/2024 3:40 PM,0.406,19.7,101.07
11/18/2024 3:45 PM,0.381,19.8,101.07
11/18/2024 3:50 PM,0.370,19.9,101.07
11/18/2024 3:55 PM,0.415,20.0,101.07
11/18/2024 4:00 PM,0.458,20.0,101.09
11/18/2024 4:05 PM,0.484,20.0,101.09
11/18/2024 4:10 PM,0.495,19.9,101.10
11/18/2024 4:15 PM,0.500,19.9,101.12
11/18/2024 4:20 PM,0.508,19.9,101.12
11/18/2024 4:25 PM,0.509,20.0,101.12
11/18/2024 4:30 PM,0.514,20.0,101.10
11/18/2024 4:35 PM,0.514,20.0,101.10
11/18/2024 4:40 PM,0.514,20.0,101.10
11/18/2024 4:45 PM,0.501,20.0,101.12
11/18/2024 4:50 PM,0.484,20.0,101.12
11/18/2024 4:55 PM,0.445,20.0,101.12
